Symbol,Pre Market Volume,Price % Change from Open,% From Daily VWAP,ADR % - 1 Day,ADR - 1 Day,ATR - 14 Days,Last,Volume,Pre Market Last,Pre Market Price % Change,Relative Volume - 5 Day,Relative Volume - 20 Day,Industry,DCR,WCR,Name
SKY,NaN,2.19%,1.00%,3.14%,2.72,3.8813,$88.81,755422,$NaN,NaN%,1.2015,1.3187,Household Durables,85%,81%,"Champion Homes, Inc."
SKYT,1373,2.53%,0.20%,5.31%,1.78,1.9168,$34.82,507160,$34.11,-1.93%,1.0639,0.821,Semiconductors & Semiconductor Equipment,71%,28%,"SkyWater Technology, Inc."
SLB,12392,0.54%,0.22%,1.83%,0.85,1.8171,$46.96,8302633,$46.91,-1.08%,0.5841,0.7266,Energy Equipment & Services,47%,39%,Slb N.V.
SLDE,NaN,4.60%,1.58%,5.66%,1.03,0.6619,$19.09,1672182,$NaN,NaN%,1.6582,2.2824,Insurance,86%,95%,"Slide Insurance Holdings, Inc. Common Stock"
SLF,NaN,0.32%,-0.03%,1.00%,0.775,1.1611,$77.92,269858,$NaN,NaN%,0.5997,0.6923,Insurance,46%,60%,Sun Life Financial Inc.
SLG,NaN,3.52%,1.21%,3.95%,1.9846,1.9196,$52.11,1038842,$NaN,NaN%,1.1505,1.2348,Diversified REITs,95%,97%,SL Green Realty Corp.
SLGN,NaN,3.26%,0.68%,3.53%,1.58,1.4151,$46.24,881296,$NaN,NaN%,1.3653,1.3256,Containers & Packaging,92%,98%,Silgan Holdings Inc.
SLM,NaN,4.09%,1.61%,4.68%,1.14,0.9354,$25.47,3240394,$NaN,NaN%,2.0825,1.5872,Consumer Finance,96%,98%,SLM Corporation
SLN,3855,1.56%,-2.66%,7.27%,0.72,0.7411,$10.065,975156,$9.81,-1.90%,1.1252,2.562,Biotechnology,22%,85%,Silence Therapeutics plc
SLP,NaN,0.03%,0.01%,0.36%,0.065,0.5199,$18.175,690156,$NaN,NaN%,1.1282,1.6513,Health Care Technology,46%,42%,"Simulations Plus, Inc."
SLS,315227,19.67%,4.80%,20.44%,2.1099,0.8433,$12.41,15086815,$10.36,-1.61%,1.9072,2.0271,Biotechnology,99%,100%,"SELLAS Life Sciences Group, Inc."
SM,2921,0.08%,0.85%,3.68%,0.945,1.4727,$26.32,2307453,$26.16,-1.36%,0.7836,0.7522,"Oil, Gas & Consumable Fuels",66%,27%,SM Energy Company
SMA,1255,1.30%,1.09%,2.14%,0.7,0.8129,$33.43,608070,$32.9,0.37%,1.4688,1.2391,Specialized REITs,92%,95%,Smartstop Self Storage REIT Inc
SMCI,982379,-0.94%,-0.96%,4.72%,1.43,3.6572,$30.64,29671332,$30.928,-2.37%,0.5,0.4576,"Technology Hardware, Storage & Peripherals",25%,6%,"Super Micro Computer, Inc."
SMFG,154810,0.42%,-0.20%,1.18%,0.28,0.5679,$23.84,1323519,$23.69,-0.04%,0.6335,0.6977,Banks,39%,22%,"Sumitomo Mitsui Financial Group, Inc."
SMG,NaN,1.26%,-0.53%,3.35%,2.305,2.6805,$69.91,672915,$NaN,NaN%,1.1128,0.9473,Chemicals,44%,86%,The Scotts Miracle-Gro Company
SMMT,2863,0.21%,-0.11%,2.67%,0.37,0.8257,$14.03,2587379,$14.19,0.07%,0.5044,0.4051,Biotechnology,41%,30%,Summit Therapeutics Inc.
SMPL,NaN,4.99%,0.59%,7.04%,0.87,0.5281,$13.04,1885925,$NaN,NaN%,1.3381,1.3861,Food Products,78%,86%,The Simply Good Foods Company
SMR,797915,3.17%,0.73%,5.65%,0.55,0.9474,$10.09,17029751,$9.78,-2.88%,0.5874,0.5341,Machinery,64%,17%,NuScale Power Corporation
SMTC,29327,-3.24%,-1.49%,4.50%,6.705,13.8246,$149.98,3396758,$157.14,-3.16%,1.4446,1.305,Semiconductors & Semiconductor Equipment,15%,4%,Semtech Corporation
SN,NaN,2.45%,0.91%,3.25%,4.5739,6.5925,$145.11,1224844,$NaN,NaN%,1.0083,0.8416,Household Durables,93%,93%,"SharkNinja, Inc."
SNA,NaN,-0.21%,-0.09%,1.09%,4.305,8.8125,$396.99,208399,$NaN,NaN%,0.8344,1.0618,Machinery,41%,68%,Snap-on Incorporated
SNDA,NaN,-0.36%,-0.68%,3.69%,1.42,1.6247,$39.02,701804,$NaN,NaN%,1.0245,1.2653,Health Care Equipment & Supplies,35%,77%,"Sonida Senior Living, Inc."
SNDK,873496,-3.64%,-3.02%,9.36%,193.071,217.247,$2091.08,10012529,$2168.4,-7.13%,1.0321,1.0835,"Technology Hardware, Storage & Peripherals",15%,47%,Sandisk Corporation
SNDR,NaN,1.60%,0.48%,3.84%,1.35,1.3341,$36.27,407730,$NaN,NaN%,0.5595,0.5155,Ground Transportation,80%,84%,"Schneider National, Inc."
SNDX,1774,6.12%,3.03%,7.23%,1.44,0.8529,$21.32,2046621,$20.19,1.92%,1.5149,1.3857,Biotechnology,97%,98%,"Syndax Pharmaceuticals, Inc."
SNEX,2577,-1.42%,0.38%,4.82%,6.33,6.4902,$135.02,1377533,$136.94,-0.25%,1.8837,1.9058,Capital Markets,57%,34%,StoneX Group Inc.
SNN,6126,0.17%,-0.19%,1.37%,0.41,0.5614,$30.01,1650351,$29.96,-0.86%,1.4987,1.5513,Health Care Equipment & Supplies,37%,51%,Smith & Nephew plc
SNOW,19516,10.42%,3.27%,12.30%,27.36,14.1603,$248.435,8891489,$227.96,0.40%,1.9314,1.0421,IT Services,95%,96%,Snowflake Inc.
SNPS,13160,1.47%,0.76%,4.44%,19.48,18.513,$453.24,2028001,$448.47,-1.44%,1.3228,1.2116,Software,75%,36%,"Synopsys, Inc."
SNX,3397,-5.58%,-1.23%,7.02%,18.52,11.4976,$264.88,1240182,$279.5,0.67%,1.3794,1.7082,"Electronic Equipment, Instruments & Components",6%,3%,TD Synnex Corp
SNY,1481103,2.02%,1.08%,2.04%,0.86,0.9732,$42.97,4287260,$42.15,0.84%,0.7539,1.2904,Pharmaceuticals,99%,100%,Sanofi
SO,NaN,0.44%,0.18%,1.16%,1.11,1.7369,$97.01,4880660,$NaN,NaN%,1.0097,1.1408,Electric Utilities,82%,95%,The Southern Company
SOBO,NaN,0.00%,0.28%,1.20%,0.435,0.9359,$36.59,478021,$NaN,NaN%,0.6856,0.7849,"Oil, Gas & Consumable Fuels",71%,90%,South Bow Corporation
SOFI,925047,5.15%,1.13%,5.77%,0.98,0.9694,$17.875,81111298,$16.9701,-1.91%,0.9545,1.0217,Consumer Finance,90%,68%,"SoFi Technologies, Inc."
SOLS,NaN,-3.38%,-0.23%,5.07%,4.13,3.9157,$82.705,1276829,$NaN,NaN%,1.4174,1.1506,Chemicals,29%,16%,Solstice Advanced Materials Inc.
SOLV,NaN,2.11%,0.09%,3.38%,2.63,2.5185,$79.525,1125436,$NaN,NaN%,1.2304,0.9448,Health Care Equipment & Supplies,63%,87%,Solventum Corporation
SON,324,1.79%,0.91%,2.00%,1.0791,1.6361,$55.11,811215,$54.35,0.02%,0.7814,0.8534,Containers & Packaging,95%,99%,Sonoco Products Company
